date,sunspot
1818-01-01,-1.0
1818-01-02,-1.0
1818-01-03,-1.0
1818-01-04,-1.0
1818-01-05,-1.0
1818-01-06,-1.0
1818-01-07,-1.0
1818-01-08,7.25
1818-01-09,6.333333333333333
1818-01-10,5.6
1818-01-11,5.0
1818-01-12,4.5
1818-01-13,7.0
1818-01-14,6.428571428571429
1818-01-15,5.933333333333334
1818-01-16,5.5
1818-01-17,9.705882352941176
1818-01-18,14.61111111111111
1818-01-19,19.36842105263158
1818-01-20,18.35
1818-01-21,17.428571428571427
1818-01-22,16.59090909090909
1818-01-23,15.826086956521738
1818-01-24,15.125
1818-01-25,15.52
1818-01-26,14.884615384615385
1818-01-27,14.296296296296296
1818-01-28,15.74074074074074
1818-01-29,16.51851851851852
1818-01-30,16.51851851851852
1818-01-31,16.51851851851852
1818-02-01,16.51851851851852
1818-02-02,16.51851851851852
1818-02-03,17.185185185185187
1818-02-04,14.74074074074074
1818-02-05,15.518518518518519
1818-02-06,16.48148148148148
1818-02-07,16.48148148148148
1818-02-08,16.48148148148148
1818-02-09,18.333333333333332
1818-02-10,18.333333333333332
1818-02-11,18.333333333333332
1818-02-12,18.333333333333332
1818-02-13,22.59259259259259
1818-02-14,21.666666666666668
1818-02-15,20.814814814814813
1818-02-16,21.88888888888889
1818-02-17,21.88888888888889
1818-02-18,21.88888888888889
1818-02-19,21.925925925925927
1818-02-20,21.925925925925927
1818-02-21,21.0
1818-02-22,21.0
1818-02-23,21.037037037037038
1818-02-24,19.59259259259259
1818-02-25,18.85185185185185
1818-02-26,18.88888888888889
1818-02-27,18.925925925925927
1818-02-28,18.925925925925927
1818-03-01,18.925925925925927
1818-03-02,18.25925925925926
1818-03-03,18.25925925925926
1818-03-04,17.48148148148148
1818-03-05,16.51851851851852
1818-03-06,17.59259259259259
1818-03-07,17.59259259259259
1818-03-08,14.333333333333334
1818-03-09,14.333333333333334
1818-03-10,16.14814814814815
1818-03-11,16.14814814814815
1818-03-12,9.0
1818-03-13,6.2592592592592595
1818-03-14,4.407407407407407
1818-03-15,4.296296296296297
1818-03-16,6.074074074074074
1818-03-17,6.074074074074074
1818-03-18,7.666666666666667
1818-03-19,7.703703703703703
1818-03-20,7.703703703703703
1818-03-21,10.88888888888889
1818-03-22,10.851851851851851
1818-03-23,12.814814814814815
1818-03-24,15.777777777777779
1818-03-25,15.74074074074074
1818-03-26,15.703703703703704
1818-03-27,17.85185185185185
1818-03-28,19.666666666666668
1818-03-29,21.48148148148148
1818-03-30,21.48148148148148
1818-03-31,21.48148148148148
1818-04-01,21.48148148148148
1818-04-02,20.40740740740741
1818-04-03,20.40740740740741
1818-04-04,21.11111111111111
1818-04-05,23.185185185185187
1818-04-06,22.814814814814813
1818-04-07,22.814814814814813
1818-04-08,24.25925925925926
1818-04-09,26.51851851851852
1818-04-10,27.62962962962963
1818-04-11,29.185185185185187
1818-04-12,29.37037037037037
1818-04-13,31.0
1818-04-14,31.14814814814815
1818-04-15,33.666666666666664
1818-04-16,36.7037037037037
1818-04-17,33.51851851851852
1818-04-18,35.96296296296296
1818-04-19,36.0
1818-04-20,33.0
1818-04-21,33.0
1818-04-22,33.0
1818-04-23,30.85185185185185
1818-04-24,30.11111111111111
1818-04-25,29.925925925925927
1818-04-26,33.18518518518518
1818-04-27,36.629629629629626
1818-04-28,39.7037037037037
1818-04-29,42.148148148148145
1818-04-30,44.51851851851852
1818-05-01,46.18518518518518
1818-05-02,46.851851851851855
1818-05-03,48.666666666666664
1818-05-04,48.666666666666664
1818-05-05,48.0
1818-05-06,48.44444444444444
1818-05-07,46.111111111111114
1818-05-08,45.111111111111114
1818-05-09,45.407407407407405
1818-05-10,46.111111111111114
1818-05-11,46.111111111111114
1818-05-12,45.44444444444444
1818-05-13,44.370370370370374
1818-05-14,46.44444444444444
1818-05-15,46.81481481481482
1818-05-16,44.81481481481482
1818-05-17,44.81481481481482
1818-05-18,44.81481481481482
1818-05-19,48.666666666666664
1818-05-20,51.407407407407405
1818-05-21,50.333333333333336
1818-05-22,50.7037037037037
1818-05-23,50.370370370370374
1818-05-24,49.44444444444444
1818-05-25,51.03703703703704
1818-05-26,53.51851851851852
1818-05-27,55.81481481481482
1818-05-28,60.81481481481482
1818-05-29,65.5925925925926
1818-05-30,68.55555555555556
1818-05-31,73.48148148148148
1818-06-01,77.37037037037037
1818-06-02,78.4074074074074
1818-06-03,81.5925925925926
1818-06-04,83.33333333333333
1818-06-05,83.07407407407408
1818-06-06,82.33333333333333
1818-06-07,81.22222222222223
1818-06-08,80.66666666666667
1818-06-09,79.92592592592592
1818-06-10,79.25925925925925
1818-06-11,76.44444444444444
1818-06-12,76.44444444444444
1818-06-13,76.44444444444444
1818-06-14,77.11111111111111
1818-06-15,73.92592592592592
1818-06-16,71.85185185185185
1818-06-17,71.85185185185185
1818-06-18,70.92592592592592
1818-06-19,70.51851851851852
1818-06-20,70.51851851851852
1818-06-21,69.22222222222223
1818-06-22,67.4074074074074
1818-06-23,65.37037037037037
1818-06-24,59.96296296296296
1818-06-25,52.44444444444444
1818-06-26,48.666666666666664
1818-06-27,46.48148148148148
1818-06-28,44.629629629629626
1818-06-29,44.51851851851852
1818-06-30,44.629629629629626
1818-07-01,43.51851851851852
1818-07-02,42.22222222222222
1818-07-03,41.48148148148148
1818-07-04,42.96296296296296
1818-07-05,44.333333333333336
1818-07-06,43.074074074074076
1818-07-07,43.0
1818-07-08,43.96296296296296
1818-07-09,44.74074074074074
1818-07-10,46.0
1818-07-11,47.03703703703704
